HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.query,Input.page1_url,Input.page2_url,Input.page3_url,Input.page4_url,Input.page5_url,Input.page6_url,Input.page7_url,Input.page8_url,Answer.choice1,Answer.choice2,Answer.choice3,Answer.choice4,Answer.choose1reason,Answer.choose2reason,Answer.choose3reason,Approve,Reject
301KG0KX9DT6ZN45SC37VG34CYZ2HH,36BILMLQB8DJCI2C38J71F64SYKVAM,choose search result you perfer,choose the page you perfer,"information retrieval,IT,computer,search engine,search,engine",$0.03 ,Fri Apr 07 12:39:20 PDT 2017,6,BatchId:2757313;OriginalHitTemplateId:926158629;,3600,259200,Tue Apr 18 06:40:57 PDT 2017,,,317HQ483I9046O2CAFOEC031OMVINE,A3LN4KALC95O1E,Rejected,Tue Apr 11 23:23:43 PDT 2017,Tue Apr 11 23:31:41 PDT 2017,Fri Apr 14 23:31:41 PDT 2017,,Thu Apr 13 08:45:47 PDT 2017,one of your selection is not about the specified query shown at the beginning of the survey,478,51% (140/277),51% (140/277),0% (0/0),wallpaper,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Santa Claus.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ wallpaper.html,Result 2,Result 4,Result 5,Result 7,THIS LOOKS INTERESTING,THIS LOOKS INTERESTING,THIS LOOKS INTERESTING|THIS LOOKS INTERESTING,,
301KG0KX9DT6ZN45SC37VG34CYZ2HH,36BILMLQB8DJCI2C38J71F64SYKVAM,choose search result you perfer,choose the page you perfer,"information retrieval,IT,computer,search engine,search,engine",$0.03 ,Fri Apr 07 12:39:20 PDT 2017,6,BatchId:2757313;OriginalHitTemplateId:926158629;,3600,259200,Tue Apr 18 06:40:57 PDT 2017,,,3HVVDCPGTG0OR1M1BTWT7N3H3RDTY2,ARFAW0SGYEMFL,Approved,Fri Apr 14 04:35:53 PDT 2017,Fri Apr 14 04:46:51 PDT 2017,Mon Apr 17 04:46:51 PDT 2017,Sun Apr 16 15:22:09 PDT 2017,,,658,100% (1/1),100% (1/1),0% (0/0),wallpaper,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Santa Claus.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ wallpaper.html,equally good,Result 3,equally good,Result 8,"Related with Faceboo,Twitter, etc.",The rights results does not have any relevant result.,They are the same.|More complete and diverse...,,
301KG0KX9DT6ZN45SC37VG34CYZ2HH,36BILMLQB8DJCI2C38J71F64SYKVAM,choose search result you perfer,choose the page you perfer,"information retrieval,IT,computer,search engine,search,engine",$0.03 ,Fri Apr 07 12:39:20 PDT 2017,6,BatchId:2757313;OriginalHitTemplateId:926158629;,3600,259200,Tue Apr 18 06:40:57 PDT 2017,,,3WT783CTPDPBSCRFFFNJA25CUM4BCB,AQ07VGUPLAGEU,Rejected,Fri Apr 07 21:49:33 PDT 2017,Fri Apr 07 21:50:20 PDT 2017,Mon Apr 10 21:50:20 PDT 2017,,Sat Apr 08 12:44:31 PDT 2017,(result 4) one of your selection is not about the specified query shown at the beginning of the survey,47,61% (65/107),61% (65/107),0% (0/0),wallpaper,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Santa Claus.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ wallpaper.html,Result 2,Result 4,Result 6,Result 7,{},{},|,,
302OLP89D0F4NIOTJZILQ7PMBUMACN,36BILMLQB8DJCI2C38J71F64SYKVAM,choose search result you perfer,choose the page you perfer,"information retrieval,IT,computer,search engine,search,engine",$0.03 ,Fri Apr 07 12:39:21 PDT 2017,9,BatchId:2757313;OriginalHitTemplateId:926158629;,3600,259200,Tue Apr 18 06:41:08 PDT 2017,,,3KB8R4ZV1GFO9O7KH1J20TQRSKQGBW,A3HU036FFRA7TQ,Rejected,Tue Apr 11 23:30:42 PDT 2017,Tue Apr 11 23:33:09 PDT 2017,Fri Apr 14 23:33:09 PDT 2017,,Thu Apr 13 09:06:02 PDT 2017,(result 4) one of your selection is not about the specified query shown at the beginning of the survey,147,50% (1/2),50% (1/2),0% (0/0),Socrates,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ iraq war.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ Socrates.html,equally good,Result 4,equally good,Result 7,it has more information,it has more information and related to the result,they are equally good|it has more information and related to the topic,,
302OLP89D0F4NIOTJZILQ7PMBUMACN,36BILMLQB8DJCI2C38J71F64SYKVAM,choose search result you perfer,choose the page you perfer,"information retrieval,IT,computer,search engine,search,engine",$0.03 ,Fri Apr 07 12:39:21 PDT 2017,9,BatchId:2757313;OriginalHitTemplateId:926158629;,3600,259200,Tue Apr 18 06:41:08 PDT 2017,,,3LS2AMNW5HYZ57Q7O2T00RUS56JQO6,A3LN4KALC95O1E,Rejected,Wed Apr 12 00:06:29 PDT 2017,Wed Apr 12 00:09:50 PDT 2017,Sat Apr 15 00:09:50 PDT 2017,,Thu Apr 13 08:47:29 PDT 2017,one of your selection is not about the specified query shown at the beginning of the survey,201,51% (140/277),51% (140/277),0% (0/0),Socrates,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ iraq war.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ Socrates.html,Result 1,Result 4,Result 5,Result 8,THIS IS LOOKING GOOD,THIS IS LOOKING GOOD,THIS IS LOOKING GOOD|THIS IS LOOKING GOOD,,
302OLP89D0F4NIOTJZILQ7PMBUMACN,36BILMLQB8DJCI2C38J71F64SYKVAM,choose search result you perfer,choose the page you perfer,"information retrieval,IT,computer,search engine,search,engine",$0.03 ,Fri Apr 07 12:39:21 PDT 2017,9,BatchId:2757313;OriginalHitTemplateId:926158629;,3600,259200,Tue Apr 18 06:41:08 PDT 2017,,,3MB8LZR5BH15OJPFY5TBCOEPBS6LK6,A12PLR2DLZYME1,Rejected,Mon Apr 10 10:12:23 PDT 2017,Mon Apr 10 10:13:24 PDT 2017,Thu Apr 13 10:13:24 PDT 2017,,Mon Apr 10 13:19:21 PDT 2017,one of your selection is not about the specified query,61,63% (5/8),63% (5/8),0% (0/0),Socrates,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ iraq war.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ Socrates.html,None good,None good,None good,None good,{},{},|,,
302OLP89D0F4NIOTJZILQ7PMBUMACN,36BILMLQB8DJCI2C38J71F64SYKVAM,choose search result you perfer,choose the page you perfer,"information retrieval,IT,computer,search engine,search,engine",$0.03 ,Fri Apr 07 12:39:21 PDT 2017,9,BatchId:2757313;OriginalHitTemplateId:926158629;,3600,259200,Tue Apr 18 06:41:08 PDT 2017,,,3NLZY2D53RXRZMNABAD88AQYAVJLQD,AQ07VGUPLAGEU,Rejected,Fri Apr 07 22:07:18 PDT 2017,Fri Apr 07 22:07:30 PDT 2017,Mon Apr 10 22:07:30 PDT 2017,,Sat Apr 08 12:44:39 PDT 2017,(result 4) one of your selection is not about the specified query shown at the beginning of the survey,12,61% (65/107),61% (65/107),0% (0/0),Socrates,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ iraq war.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ Socrates.html,Result 2,Result 4,Result 5,Result 7,{},{},|,,
302OLP89D0F4NIOTJZILQ7PMBUMACN,36BILMLQB8DJCI2C38J71F64SYKVAM,choose search result you perfer,choose the page you perfer,"information retrieval,IT,computer,search engine,search,engine",$0.03 ,Fri Apr 07 12:39:21 PDT 2017,9,BatchId:2757313;OriginalHitTemplateId:926158629;,3600,259200,Tue Apr 18 06:41:08 PDT 2017,,,3TU5ZICBRF9WKF3RHL44354SQXXQ8D,A2BT1JCY9HWCC9,Rejected,Mon Apr 10 01:23:51 PDT 2017,Mon Apr 10 01:30:58 PDT 2017,Thu Apr 13 01:30:58 PDT 2017,,Mon Apr 10 13:19:21 PDT 2017,(result 4) one of your selection is not about the specified query shown at the beginning of the survey,427,0% (0/1),0% (0/1),0% (0/0),Socrates,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ iraq war.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ Socrates.html,equally good,Result 4,Result 6,Result 8,The results are the same but the second two listed websites are just in different order so it is the same information.,The results on the right provide pictures with the descriptions so it is more eye catching and interesting.,The results on the right provide interesting information that makes me want to click and learn more. |Results on right provide more interesting descriptions along with pictures while the left side does not.,,
302U8RURJ0976AOIJKIV25XBV80NVI,36BILMLQB8DJCI2C38J71F64SYKVAM,choose search result you perfer,choose the page you perfer,"information retrieval,IT,computer,search engine,search,engine",$0.03 ,Fri Apr 07 12:39:20 PDT 2017,6,BatchId:2757313;OriginalHitTemplateId:926158629;,3600,259200,Tue Apr 18 06:41:02 PDT 2017,,,38F71OA9GV4EEFFMX63TWO193Y0FMF,AQ07VGUPLAGEU,Rejected,Fri Apr 07 21:58:17 PDT 2017,Fri Apr 07 21:58:24 PDT 2017,Mon Apr 10 21:58:24 PDT 2017,,Sat Apr 08 12:44:34 PDT 2017,(result 3) one of your selection is not about the specified query shown at the beginning of the survey,7,61% (65/107),61% (65/107),0% (0/0),spirit,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ spirit.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ spirit.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ spirit.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ spirit.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ spirit.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ spirit.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ spirit.html,Result 2,Result 3,Result 6,Result 8,{},{},|,,
302U8RURJ0976AOIJKIV25XBV80NVI,36BILMLQB8DJCI2C38J71F64SYKVAM,choose search result you perfer,choose the page you perfer,"information retrieval,IT,computer,search engine,search,engine",$0.03 ,Fri Apr 07 12:39:20 PDT 2017,6,BatchId:2757313;OriginalHitTemplateId:926158629;,3600,259200,Tue Apr 18 06:41:02 PDT 2017,,,3E7TUJ2EGEU29BIWHR4Y32S4RS89D6,A3LN4KALC95O1E,Approved,Tue Apr 11 23:58:29 PDT 2017,Wed Apr 12 00:03:36 PDT 2017,Sat Apr 15 00:03:36 PDT 2017,Thu Apr 13 09:05:58 PDT 2017,Thu Apr 13 08:46:31 PDT 2017,,307,51% (140/277),51% (140/277),0% (0/0),spirit,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ spirit.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ spirit.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ spirit.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ spirit.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ spirit.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ spirit.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ spirit.html,Result 1,Result 4,Result 6,Result 7,THIS LOOKS INTERESTING,THIS LOOKS INTERESTING,THIS LOOKS INTERESTING|THIS LOOKS INTERESTING,,
