IMINE2-E-001,0.333333333,cvs CVS pharmacy locations,cv store,cv near me,,,,,,,,,,,,,,
IMINE2-E-001,0.266666667,cvs CVS pharmacy business units,cv pharmaci,cv caremark,,,,,,,,,,,,,,
IMINE2-E-001,0.133333333,cvs CVS pharmacy advertisement,cv weekli circular,cv coupon,,,,,,,,,,,,,,
IMINE2-E-001,0.133333333,cvs CVS pharmacy stock,cv stock,,,,,,,,,,,,,,,
IMINE2-E-001,0.066666667,cvs CVS pharmacy logo,cv photo,,,,,,,,,,,,,,,
IMINE2-E-001,0.066666667,cvs CVS pharmacy employment,cv learnet,cv career,,,,,,,,,,,,,,
IMINE2-E-002,0.357142857,Bumblebee animals,where do bumblebe live,stripe bumblebe shrimp,carpent bee,bumblebeewolf,bumblebe sting,bumblebe poison frog or yellow-band poison dart frog,bumblebe nest,bumblebe insect,bumblebe hummingbird,bumblebe catfish,bumblebe bat or kitti's hog-nose bat,bumblebe bat,bumbl bee clip art,bumbl bee cake,,
IMINE2-E-002,0.285714286,bumblebee transformer,bumblebe transform,bumblebe pictur,bumblebe camaro,,,,,,,,,,,,,
IMINE2-E-002,0.214285714,bumblebee tuna,bumblebe tuna,,,,,,,,,,,,,,,
IMINE2-E-002,0.071428571,Bumblebee army,oper teardrop,drozd bb rifl or,bumblebe bumbar,bumblebe beriev a-50,beriev a-50,,,,,,,,,,,
IMINE2-E-002,0.071428571,Bumblebee other language,hummel intern,bumblebe humlebien,,,,,,,,,,,,,,
IMINE2-E-003,0.384615385,Tony Allen basic information,toni allen twitter,toni allen net worth,,,,,,,,,,,,,,
IMINE2-E-003,0.307692308,Tony Allen basketball player,toni allen's mother ella allen,toni allen wed,toni allen memphi grizzli,toni allen memphi,toni allen gang,toni allen espn,toni allen defens,toni allen death threat,toni allen chicago shoot,toni allen basketbal,,,,,,
IMINE2-E-003,0.307692308,Tony Allen musician,toni allen savannah ga,toni allen musician,,,,,,,,,,,,,,
IMINE2-E-004,0.357142857,wallpaper house,wallpap steamer,wallpap calcul,,,,,,,,,,,,,,
IMINE2-E-004,0.285714286,wallpaper computer,wallpap hd,wallpap maker,wallpap effect,wallpap desktop,wallpap abyss,mobil wallpap,hd wallpap,free wallpap download,free wallpap,free pictur background wallpap,free desktop wallpap,desktop wallpap,comput wallpap,anim wallpap,anim desktop wallpap,3d desktop wallpap
IMINE2-E-004,0.214285714,wallpaper wallpaper magazine,wallpap magazin,,,,,,,,,,,,,,,
IMINE2-E-004,0.142857143,wallpaper designs,wallpap group,wallpap border,cool wallpap,,,,,,,,,,,,,
IMINE2-E-005,0.5,Opera browser,safari,opera window 7 32 bit,opera download for window 7,opera download & instal latest version free,opera download,opera chrome,opera browser,opera 12.16 32 bit,latest opera for window 7,instal opera for window 7,firefox,download opera mini for laptop window 7,chrome,,,
IMINE2-E-005,0.2,Opera album,opera tosca album,,,,,,,,,,,,,,,
IMINE2-E-005,0.2,Opera opera comique,op???ra-comiqu,,,,,,,,,,,,,,,
IMINE2-E-005,0.1,Opera OPERA experiment,opera experi,,,,,,,,,,,,,,,
IMINE2-E-006,0.416666667,ginger benefits,what is ginger root good for,ginger side effect blood pressur,ginger benefit,benefit of drink ginger tea,,,,,,,,,,,,
IMINE2-E-006,0.25,ginger food stuff,ginger tea,,,,,,,,,,,,,,,
IMINE2-E-006,0.166666667,ginger grammar checker,ginger grammar checker,,,,,,,,,,,,,,,
IMINE2-E-006,0.083333333,ginger cultivation,how to grow ginger root,,,,,,,,,,,,,,,
IMINE2-E-006,0.083333333,ginger red hair,in britain,ginger joke,,,,,,,,,,,,,,
IMINE2-E-007,0.3125,spirit airline,usair,spirit usair,spirit avianca,spirit airlin promo code 2015,spirit airlin offici site,spirit airlin flight statu,spirit airlin,southwest,kayak,avianca,airtran,,,,,
IMINE2-E-007,0.25,spirit spirituality,spiritu,spirit scienc,pneumatolog,enthusiasm,,,,,,,,,,,,
IMINE2-E-007,0.125,spirit Christianity,spiritu warfar,spirit daili,,,,,,,,,,,,,,
IMINE2-E-007,0.125,spirit spirit halloween,spirit halloween,,,,,,,,,,,,,,,
IMINE2-E-007,0.0625,spirit the Spirit film,the spirit film,,,,,,,,,,,,,,,
IMINE2-E-007,0.0625,spirit alcoholic beverage,alcohol spirit,,,,,,,,,,,,,,,
IMINE2-E-007,0.0625,spirit music,spirit in the sky,,,,,,,,,,,,,,,
IMINE2-E-008,0.3125,Pluto NASA,new horizon spacecraft,nasa probe pluto,,,,,,,,,,,,,,
IMINE2-E-008,0.3125,Pluto planet,pluto reinstat as a planet,pluto neptun,pluto astrolog,pluto a planet again,neptun,,,,,,,,,,,
IMINE2-E-008,0.3125,Pluto picture,pluto pictur nasa,pluto new horizon,nasa latest photo of pluto,latest pictur of pluto,latest imag of pluto 2015,,,,,,,,,,,
IMINE2-E-008,0.0625,pluto disney character,pluto disnei,,,,,,,,,,,,,,,
IMINE2-E-009,0.357142857,full house series,full hous youtub,full hous movi,full hous full episod,full hous episod,full hous 2009 tv seri,full hous 2004 tv seri,full hous 1987 tv seri,,,,,,,,,
IMINE2-E-009,0.285714286,full house cast,lori loughlin,full hous cast now,full hous cast,full hous actor di,andrea barber,,,,,,,,,,,
IMINE2-E-009,0.214285714,full house 2015,fuller hous full episod,full hous reunion,full hous reboot,full hous 2015,,,,,,,,,,,,
IMINE2-E-009,0.142857143,full house Korean drama,super junior full hous,,,,,,,,,,,,,,,
IMINE2-E-010,0.3125,JFK JFK airport,john f. kennedi memori airport,jfk park,jfk express,jfk arriv,jfk airport new york,jfk airport,,,,,,,,,,
IMINE2-E-010,0.25,JFK assassination,who kill jfk,jfk fact,jfk conspiraci theori,jfk coffin open,jfk autopsi photo,jfk assassin,evid cia kill jfk,,,,,,,,,
IMINE2-E-010,0.1875,JFK film,jfk movi,,,,,,,,,,,,,,,
IMINE2-E-010,0.125,JFK facility,jfk univers,jfk librari,,,,,,,,,,,,,,
IMINE2-E-010,0.125,JFK Kennedy family,jfk jr,arabella kennedi,,,,,,,,,,,,,,
IMINE2-E-011,0.416666667,persona mozilla firefox,persona for firefox,firefox persona,,,,,,,,,,,,,,
IMINE2-E-011,0.333333333,persona video game,persona video game,persona game,persona 5,persona 4,persona 3 fe,persona 3,,,,,,,,,,
IMINE2-E-011,0.166666667,persona examples,exampl of persona,,,,,,,,,,,,,,,
IMINE2-E-011,0.083333333,persona music,persona queen latifah album,a la primera persona,,,,,,,,,,,,,,
IMINE2-E-012,0.227272727,Virginia university,virginia tech,univers of virginiavirginia cavali,,,,,,,,,,,,,,
IMINE2-E-012,0.227272727,Virginia geography,west virginia,north carolina,,,,,,,,,,,,,,
IMINE2-E-012,0.181818182,Virginia map,virginia road map,map of virginia with citi,,,,,,,,,,,,,,
IMINE2-E-012,0.136363636,Virginia tourism,virginia tourism,virginia attract,,,,,,,,,,,,,,
IMINE2-E-012,0.136363636,Virginia Virginia Beach,virginia beach weather,virginia beach,,,,,,,,,,,,,,
IMINE2-E-012,0.045454545,Virginia lottery,virginia lotteri,,,,,,,,,,,,,,,
IMINE2-E-012,0.045454545,Virginia administration,virginia dmv,,,,,,,,,,,,,,,
IMINE2-E-013,0.5,steam PC game distributor,valv shop,steam uplai,steam player stat,steam minecraft,steam market,steam machin,steam game,steam download,steam control,steam commun,portal 2 merchandis,minecraft,close steam befor continu,,,
IMINE2-E-013,0.25,steam digital distributions,uplai,steam gog,humbl bundl,green man game,gog,,,,,,,,,,,
IMINE2-E-013,0.125,steam engine,steam engin,,,,,,,,,,,,,,,
IMINE2-E-013,0.125,steam steam cleaner,steam cleaner,,,,,,,,,,,,,,,
IMINE2-E-014,0.384615385,Borders designs,in decor art,free printabl border and frame,clip art border free imag,christma border,border for pictur,border clip art,border and line clip art,border design,,,,,,,,
IMINE2-E-014,0.307692308,Borders bookstore,border group,border coupon,border book,barn and nobl,barn & nobl,,,,,,,,,,,
IMINE2-E-014,0.153846154,Borders MSF,doctor without border,,,,,,,,,,,,,,,
IMINE2-E-014,0.076923077,Borders sporting goods sotre,border sport good,,,,,,,,,,,,,,,
IMINE2-E-014,0.076923077,Bordersr cafe,border cafe,,,,,,,,,,,,,,,
